DATE,DCOILWTICO_PC1
2010-11-26,10.42791
2010-11-29,11.06361
2010-11-30,7.30961
2010-12-01,13.22109
2010-12-02,15.12693
2010-12-03,18.26018
2010-12-06,20.89593
2010-12-07,22.17936
2010-12-08,24.94694
2010-12-09,25.24809
2010-12-10,25.69425
2010-12-13,27.54750
2010-12-14,25.07788
2010-12-15,22.05396
2010-12-16,20.84596
2010-12-17,20.08186
2010-12-20,21.96397
2010-12-21,21.52967
2010-12-22,18.15073
2010-12-23,18.23506
2010-12-24,.
2010-12-27,15.66035
2010-12-28,15.98834
2010-12-29,14.84562
2010-12-30,13.17546
2010-12-31,.
2011-01-03,12.35280
2011-01-04,9.35894
2011-01-05,8.63811
2011-01-06,6.98547
2011-01-07,6.44187
2011-01-10,8.11728
2011-01-11,12.77386
2011-01-12,15.30254
2011-01-13,15.17328
2011-01-14,17.40636
2011-01-17,.
2011-01-18,15.70018
2011-01-19,17.34694
2011-01-20,16.77215
2011-01-21,18.81481
2011-01-24,15.80774
2011-01-25,13.94134
2011-01-26,16.98805
2011-01-27,14.71068
2011-01-28,21.00206
2011-01-31,22.28195
2011-02-01,15.96943
2011-02-02,16.65800
2011-02-03,22.27540
2011-02-04,23.49965
2011-02-07,20.07792
2011-02-08,16.46995
2011-02-09,14.91676
2011-02-10,13.57171
2011-02-11,13.87127
2011-02-14,.
2011-02-15,7.98909
2011-02-16,8.45089
2011-02-17,7.69913
2011-02-18,6.59396
2011-02-21,.
2011-02-22,17.86032
2011-02-23,20.42633
2011-02-24,22.87473
2011-02-25,21.07376
2011-02-28,23.36425
2011-03-01,25.13188
2011-03-02,26.39970
2011-03-03,27.06645
2011-03-04,28.02454
2011-03-07,28.73549
2011-03-08,28.90798
2011-03-09,27.19630
2011-03-10,25.12789
2011-03-11,24.46468
2011-03-14,26.83294
2011-03-15,18.93578
2011-03-16,18.15989
2011-03-17,23.50292
2011-03-18,25.41574
2011-03-21,25.96603
2011-03-22,27.97502
2011-03-23,31.03749
2011-03-24,30.89097
2011-03-25,31.52351
2011-03-28,26.39160
2011-03-29,27.02703
2011-03-30,24.38586
2011-03-31,25.62404
2011-04-01,.
2011-04-04,25.22001
2011-04-05,24.58979
2011-04-06,26.55301
2011-04-07,28.94212
2011-04-08,32.70686
2011-04-11,30.24860
2011-04-12,26.19332
2011-04-13,24.50362
2011-04-14,26.36950
2011-04-15,31.57768
2011-04-18,30.88813
2011-04-19,29.16365
2011-04-20,33.89708
2011-04-21,34.78104
2011-04-22,.
2011-04-25,32.63658
2011-04-26,35.53318
2011-04-27,34.95554
2011-04-28,31.94787
2011-04-29,31.74161
2011-05-02,31.14050
2011-05-03,33.68790
2011-05-04,35.98750
2011-05-05,29.42472
2011-05-06,28.98802
2011-05-09,30.47210
2011-05-10,35.38038
2011-05-11,29.38533
2011-05-12,32.46841
2011-05-13,38.54210
2011-05-16,38.28482
2011-05-17,38.94494
2011-05-18,42.35446
2011-05-19,43.51201
2011-05-20,45.74452
2011-05-23,42.25414
2011-05-24,53.02563
2011-05-25,40.91163
2011-05-26,34.36159
2011-05-27,35.91892
2011-05-30,.
2011-05-31,41.26547
2011-06-01,37.62349
2011-06-02,34.56178
2011-06-03,40.38919
2011-06-06,38.46261
2011-06-07,37.97997
2011-06-08,35.47997
2011-06-09,35.06889
2011-06-10,34.38896
2011-06-13,29.61728
2011-06-14,29.32067
2011-06-15,22.09347
2011-06-16,23.60062
2011-06-17,20.52345
2011-06-20,19.77133
2011-06-21,21.45172
2011-06-22,25.11199
2011-06-23,19.40495
2011-06-24,15.85723
2011-06-27,15.83184
2011-06-28,22.34953
2011-06-29,25.47956
2011-06-30,30.63742
2011-07-01,31.57091
2011-07-04,.
2011-07-05,34.68594
2011-07-06,30.54693
2011-07-07,30.79777
2011-07-08,26.44585
2011-07-11,26.99853
2011-07-12,26.24417
2011-07-13,27.29161
2011-07-14,24.88587
2011-07-15,28.01474
2011-07-18,25.36260
2011-07-19,26.08639
2011-07-20,28.63511
2011-07-21,25.24997
2011-07-22,26.49975
2011-07-25,25.38959
2011-07-26,28.59540
2011-07-27,26.39502
2011-07-28,24.49553
2011-07-29,21.34432
2011-08-01,16.89846
2011-08-02,13.64518
2011-08-03,11.37108
2011-08-04,5.79268
2011-08-05,7.71043
2011-08-08,-0.23324
2011-08-09,-1.14656
2011-08-10,6.35165
2011-08-11,12.94926
2011-08-12,12.99907
2011-08-15,16.90834
2011-08-16,14.37434
2011-08-17,16.16925
2011-08-18,10.65144
2011-08-19,12.08986
2011-08-22,16.10507
2011-08-23,19.80629
2011-08-24,17.92702
2011-08-25,16.07143
2011-08-26,13.56924
2011-08-29,16.84295
2011-08-30,23.59238
2011-08-31,20.06219
2011-09-01,18.58915
2011-09-02,16.00913
2011-09-05,.
2011-09-06,16.23412
2011-09-07,19.67850
2011-09-08,19.93266
2011-09-09,14.18848
2011-09-12,14.28016
2011-09-13,17.49153
2011-09-14,17.11012
2011-09-15,19.87128
2011-09-16,19.46218
2011-09-19,14.55688
2011-09-20,19.13377
2011-09-21,17.52535
2011-09-22,9.38692
2011-09-23,6.63272
2011-09-26,4.52228
2011-09-27,10.54498
2011-09-28,3.96917
2011-09-29,2.40150
2011-09-30,-3.23648
2011-10-03,-5.02272
2011-10-04,-8.97018
2011-10-05,-4.56676
2011-10-06,1.20482
2011-10-07,0.04839
2011-10-10,3.60185
2011-10-11,4.73858
2011-10-12,2.73395
2011-10-13,1.51130
2011-10-14,6.85707
2011-10-17,3.99711
2011-10-18,11.02174
2011-10-19,5.10192
2011-10-20,7.54717
2011-10-21,7.44301
2011-10-24,11.12195
2011-10-25,12.56659
2011-10-26,10.13431
2011-10-27,14.30657
2011-10-28,14.57336
2011-10-31,12.35833
2011-11-01,9.86772
2011-11-02,9.54411
2011-11-03,8.76402
2011-11-04,8.53195
2011-11-07,9.70484
2011-11-08,11.21324
2011-11-09,9.08055
2011-11-10,11.40481
2011-11-11,16.60973
2011-11-14,15.62205
2011-11-15,20.69719
2011-11-16,27.55191
2011-11-17,20.68881
2011-11-18,19.62033
2011-11-21,19.06696
2011-11-22,21.00507
2011-11-23,15.56303
2011-11-24,.
2011-11-25,15.54787
2011-11-28,14.55733
2011-11-29,18.62815
2011-11-30,15.68876
2011-12-01,13.88952
2011-12-02,13.22045
2011-12-05,12.99675
2011-12-06,14.16169
2011-12-07,13.75991
2011-12-08,11.31862
2011-12-09,13.19895
2011-12-12,10.32498
2011-12-13,13.48353
2011-12-14,7.06068
2011-12-15,6.98894
2011-12-16,6.28266
2011-12-19,5.84123
2011-12-20,8.80179
2011-12-21,9.69609
2011-12-22,9.44518
2011-12-23,.
2011-12-26,.
2011-12-27,10.72366
2011-12-28,9.11884
2011-12-29,10.94046
2011-12-30,8.15277
2012-01-02,.
2012-01-03,15.18067
2012-01-04,14.30786
2012-01-05,15.20878
2012-01-06,15.31736
2012-01-09,13.52532
2012-01-10,12.21600
2012-01-11,9.84213
2012-01-12,8.35978
2012-01-13,7.82257
2012-01-16,.
2012-01-17,10.19917
2012-01-18,10.74298
2012-01-19,13.27913
2012-01-20,11.25595
2012-01-23,14.67604
2012-01-24,16.17301
2012-01-25,15.18282
2012-01-26,18.12907
2012-01-27,12.84175
2012-01-30,8.52841
2012-01-31,9.96203
2012-02-01,8.74360
2012-02-02,7.76113
2012-02-03,11.30079
2012-02-06,12.27115
2012-02-07,14.79324
2012-02-08,15.43405
2012-02-09,16.90075
2012-02-10,16.93329
2012-02-13,19.99761
2012-02-14,21.27992
2012-02-15,21.50358
2012-02-16,20.31746
2012-02-17,21.45125
2012-02-20,.
2012-02-21,14.27955
2012-02-22,10.36027
2012-02-23,12.11520
2012-02-24,13.33402
2012-02-27,11.73018
2012-02-28,6.98585
2012-02-29,4.70324
2012-03-01,6.71115
2012-03-02,2.24267
2012-03-05,1.26222
2012-03-06,-0.33314
2012-03-07,1.69556
2012-03-08,3.81583
2012-03-09,6.18944
2012-03-12,5.07905
2012-03-13,9.73979
2012-03-14,7.65384
2012-03-15,3.66611
2012-03-16,5.90738
2012-03-19,5.59789
2012-03-20,1.10016
2012-03-21,1.57780
2012-03-22,-0.05712
2012-03-23,1.46820
2012-03-26,3.40931
2012-03-27,2.85605
2012-03-28,1.54143
2012-03-29,-3.20181
2012-03-30,-4.20270
2012-04-02,-2.67246
2012-04-03,-3.52439
2012-04-04,-6.32035
2012-04-05,-5.94609
2012-04-06,.
2012-04-09,-6.43836
2012-04-10,-4.37825
2012-04-11,-3.69606
2012-04-12,-3.75012
2012-04-13,-5.79830
2012-04-16,-3.54264
2012-04-17,-2.75238
2012-04-18,-7.38903
2012-04-19,-8.36019
2012-04-20,.
2012-04-23,-8.05874
2012-04-24,-7.71572
2012-04-25,-7.64847
2012-04-26,-6.95853
2012-04-27,-7.52271
2012-04-30,-7.20163
2012-05-01,-4.00542
2012-05-02,-3.25398
2012-05-03,2.67294
2012-05-04,1.67234
2012-05-07,-2.45215
2012-05-08,-6.05474
2012-05-09,-1.10339
2012-05-10,-1.45133
2012-05-11,-3.20532
2012-05-14,-2.22887
2012-05-15,-2.52075
2012-05-16,-6.77251
2012-05-17,-5.57200
2012-05-18,-7.70550
2012-05-21,-4.62600
2012-05-22,-7.75749
2012-05-23,-11.29192
2012-05-24,-9.80236
2012-05-25,-9.88268
2012-05-28,.
2012-05-29,-11.63583
2012-05-30,-12.47258
2012-05-31,-13.83328
2012-06-01,-17.06223
2012-06-04,-15.26194
2012-06-05,-14.99294
2012-06-06,-15.59988
2012-06-07,-16.84159
2012-06-08,-15.32729
2012-06-11,-15.04115
2012-06-12,-16.12157
2012-06-13,-12.93894
2012-06-14,-11.71143
2012-06-15,-9.66459
2012-06-18,-10.69398
2012-06-19,-10.36286
2012-06-20,-14.63774
2012-06-21,-14.10143
2012-06-22,-12.71867
2012-06-25,-13.11638
2012-06-26,-14.59634
2012-06-27,-15.37164
2012-06-28,-18.44701
2012-06-29,-10.30482
2012-07-02,.
2012-07-03,-9.47173
2012-07-04,.
2012-07-05,-11.74265
2012-07-06,-12.29730
2012-07-09,-9.69945
2012-07-10,-13.84868
2012-07-11,-12.40310
2012-07-12,-10.16188
2012-07-13,-10.37639
2012-07-16,-7.84866
2012-07-17,-8.63678
2012-07-18,-8.38854
2012-07-19,-6.24495
2012-07-20,-8.00764
2012-07-23,-11.31656
2012-07-24,-11.37436
2012-07-25,-8.82957
2012-07-26,-8.28888
2012-07-27,-5.80059
2012-07-30,-5.45378
2012-07-31,-6.07806
2012-08-01,-3.13486
2012-08-02,0.54179
2012-08-03,5.19047
2012-08-06,13.57204
2012-08-07,18.10388
2012-08-08,12.45033
2012-08-09,9.25363
2012-08-10,9.09731
2012-08-13,5.55303
2012-08-14,7.78996
2012-08-15,7.73008
2012-08-16,16.12042
2012-08-17,16.60391
2012-08-20,13.75267
2012-08-21,13.12244
2012-08-22,14.00165
2012-08-23,12.58955
2012-08-24,12.19398
2012-08-27,9.47634
2012-08-28,8.32396
2012-08-29,7.53294
2012-08-30,6.38705
2012-08-31,11.59051
2012-09-03,.
2012-09-04,10.87336
2012-09-05,6.74950
2012-09-06,7.33296
2012-09-07,10.51123
2012-09-10,9.44552
2012-09-11,7.56014
2012-09-12,9.12158
2012-09-13,9.95526
2012-09-14,12.48295
2012-09-17,12.61377
2012-09-18,9.58353
2012-09-19,7.22863
2012-09-20,14.75900
2012-09-21,16.41116
2012-09-24,14.64299
2012-09-25,8.18484
2012-09-26,11.09464
2012-09-27,12.23892
2012-09-28,16.78703
2012-10-01,19.52418
2012-10-02,21.85676
2012-10-03,11.05654
2012-10-04,11.38241
2012-10-05,8.66989
2012-10-08,5.03876
2012-10-09,8.04302
2012-10-10,6.96366
2012-10-11,9.80229
2012-10-12,5.79493
2012-10-15,6.32091
2012-10-16,4.22232
2012-10-17,6.88654
2012-10-18,6.88974
2012-10-19,3.22285
2012-10-22,-3.09482
2012-10-23,-6.80792
2012-10-24,-5.33259
2012-10-25,-8.90805
2012-10-26,-8.01543
