Date,Volume
2010-09-27,1638.51396745666
2010-09-30,1818.84109851717
2010-10-03,2367.26496971658
2010-10-06,2618.04544971698
2010-10-09,3137.72966304971
2010-10-12,4017.52218304951
2010-10-15,4487.28736892322
2010-10-18,4700.68890558989
2010-10-21,4905.50870558989
2010-10-24,5055.13195225656
2010-10-27,5814.66000225655
2010-10-30,6979.58286786667
2010-11-02,6933.41761333373
2010-11-05,8019.87505
2010-11-07,8862.95546666667
2010-11-10,15073.3585166667
2010-11-13,14928.5247166667
2010-11-16,15525.92242
2010-11-19,15828.4948433333
2010-11-22,16394.5192733333
2010-11-25,16409.6097666667
2010-11-28,16009.08099
2010-12-01,16462.92429
2010-12-04,15840.5817620472
2010-12-07,15476.8876977956
2010-12-10,8726.58574779565
2010-12-13,9258.22730460446
2010-12-16,8627.28098672665
2010-12-19,9491.03159459182
2010-12-22,9496.0693596933
2010-12-25,8882.36093635997
2010-12-28,8544.12918206652
2010-12-31,8223.82228206652
2011-01-03,7965.17011335268
2011-01-06,7297.77861542201
2011-01-09,7518.71046381568
2011-01-12,7920.25805309639
2011-01-15,8992.52795736512
2011-01-18,9184.60031404929
2011-01-21,9298.25876731331
2011-01-24,10501.1766051342
2011-01-27,20794.3833542335
2011-01-30,20805.3506981216
2011-02-02,24165.8689647882
2011-02-05,26996.7605013813
2011-02-08,31654.6604864052
2011-02-11,35173.7887293005
2011-02-14,37064.8430662429
2011-02-17,37762.5133783602
2011-02-20,40396.7023997432
2011-02-23,41259.6936185889
2011-02-26,33901.9957684007
2011-03-01,44574.2740895804
2011-03-04,48153.5013337062
2011-03-07,48187.263144215
2011-03-10,52338.6454341457
2011-03-14,53389.432900403
2011-03-17,58936.9038222134
2011-03-20,62437.3640112706
2011-03-23,63666.5694569215
2011-03-26,68860.3096320776
2011-03-29,72529.9717276128
2011-04-01,65932.9402057835
2011-04-04,62067.4269606912
2011-04-07,63599.0953778425
2011-04-10,58888.9228178242
2011-04-13,57537.5476098588
2011-04-16,55390.8870334831
2011-04-19,83564.3377599615
2011-04-22,176267.919185118
2011-04-25,180990.525914613
2011-04-28,186179.662139369
2011-05-01,235296.531678901
2011-05-04,261156.032428434
2011-05-07,298597.857973881
